ticket_id,agency_name,inspector_name,violator_name,violation_street_number,violation_street_name,violation_zip_code,mailing_address_str_number,mailing_address_str_name,city,state,zip_code,non_us_str_code,country,ticket_issued_date,hearing_date,violation_code,violation_description,disposition,fine_amount,admin_fee,state_fee,late_fee,discount_amount,clean_up_cost,judgment_amount,grafitti_status,payment_amount,payment_date,payment_status,balance_due,collection_status,compliance,compliance_detail
1,Police,Inspector_0,Violator_0,9434,Street_0,48200,4564,Mail_Street_0,Detroit,MI,48200,,USA,2020-01-01,2020-02-01,CODE_0,Improper waste disposal,Pending,880.4621480491746,20.0,10.0,11.120874733821873,0.0,0.0,90.68855543529384,,930.0981604069431,2020-03-01,Paid,60.94460604017948,,1.0,
2,Health,Inspector_1,Violator_1,3590,Street_1,48201,4475,Mail_Street_1,Detroit,MI,48201,,USA,2020-01-02,2020-02-02,CODE_1,Safety violations,Not responsible,243.26465137928665,20.0,10.0,86.8169295326504,0.0,0.0,164.33760563028613,,746.3240805080511,2020-03-02,Unpaid,254.8785334504357,,0.0,
3,Police,Inspector_2,Violator_2,2063,Street_2,48202,5610,Mail_Street_2,Detroit,MI,48202,,USA,2020-01-03,2020-02-03,CODE_2,Other violations,Not responsible,171.01709520032233,20.0,10.0,29.73615313084723,0.0,0.0,500.95476100381677,,728.1514749856042,2020-03-03,Paid,292.63043775492326,,1.0,
4,Police,Inspector_3,Violator_3,5324,Street_3,48203,6255,Mail_Street_3,Detroit,MI,48203,,USA,2020-01-04,2020-02-04,CODE_3,Failure to maintain exterior,Pending,321.23334111258595,20.0,10.0,16.253798746870785,0.0,0.0,999.0100054755055,,1019.3638819003947,2020-03-04,Paid,179.6694952578936,,0.0,
5,Health,Inspector_4,Violator_4,6342,Street_4,48204,8292,Mail_Street_4,Detroit,MI,48204,,USA,2020-01-05,2020-02-05,CODE_4,Other violations,Pending,554.9985269362435,20.0,10.0,67.56213095982433,0.0,0.0,87.99913158043445,,649.444518925558,2020-03-05,Paid,237.6795338404343,,0.0,
6,Health,Inspector_5,Violator_5,1005,Street_5,48205,4823,Mail_Street_5,Detroit,MI,48205,,USA,2020-01-06,2020-02-06,CODE_0,Safety violations,Responsible,535.0337056388712,20.0,10.0,3.808630059931928,0.0,0.0,591.5382640321411,,964.6318634985872,2020-03-06,Paid,181.75722868463333,,0.0,
7,Police,Inspector_6,Violator_6,8489,Street_6,48206,9397,Mail_Street_6,Detroit,MI,48206,,USA,2020-01-07,2020-02-07,CODE_1,Improper waste disposal,Pending,829.5688197927573,20.0,10.0,61.996856487416416,0.0,0.0,448.7382891823619,,610.6623062090949,2020-03-07,Pending,320.50302866035065,,0.0,
8,Buildings,Inspector_7,Violator_7,9659,Street_7,48207,3735,Mail_Street_7,Detroit,MI,48207,,USA,2020-01-08,2020-02-08,CODE_2,Safety violations,Responsible,434.3402235838165,20.0,10.0,69.81984306764998,0.0,0.0,138.77951531169487,,74.93312996870895,2020-03-08,Paid,450.6296038982817,,1.0,
9,Police,Inspector_8,Violator_8,9195,Street_8,48208,3585,Mail_Street_8,Detroit,MI,48208,,USA,2020-01-09,2020-02-09,CODE_3,Other violations,Not responsible,510.1272049769332,20.0,10.0,21.491653138671918,0.0,0.0,584.2646410733314,,460.73641068498625,2020-03-09,Unpaid,81.96013102347244,,1.0,
10,Police,Inspector_9,Violator_9,6966,Street_9,48209,2066,Mail_Street_9,Detroit,MI,48209,,USA,2020-01-10,2020-02-10,CODE_4,Failure to maintain exterior,Pending,62.699299096425854,20.0,10.0,4.196407344363429,0.0,0.0,365.3185522171251,,533.3291492057984,2020-03-10,Paid,190.7044049515617,,0.0,
